Indicador (KPI),Objetivo Estratégico,Perspectiva,Valor,Responsável,Unidade,Observações,Data
Taxa de conversão de vendas,Aumentar a eficiência comercial,Processos Internos,75.93,Equipe de Vendas,%,Dados simulados,2025-01-01
Taxa de conversão de vendas,Aumentar a eficiência comercial,Processos Internos,13.38,Equipe de Vendas,%,Dados simulados,2025-01-16
Taxa de conversão de vendas,Aumentar a eficiência comercial,Processos Internos,60.29,Equipe de Vendas,%,Dados simulados,2025-01-31
Taxa de conversão de vendas,Aumentar a eficiência comercial,Processos Internos,43.21,Equipe de Vendas,%,Dados simulados,2025-02-15
Satisfação do cliente (NPS),Melhorar a experiência do cliente,Clientes,66.81,Equipe de Suporte,NPS,Dados simulados,2025-01-01
Satisfação do cliente (NPS),Melhorar a experiência do cliente,Clientes,66.36,Equipe de Suporte,NPS,Dados simulados,2025-01-16
Satisfação do cliente (NPS),Melhorar a experiência do cliente,Clientes,59.35,Equipe de Suporte,NPS,Dados simulados,2025-01-31
Satisfação do cliente (NPS),Melhorar a experiência do cliente,Clientes,12.91,Equipe de Suporte,NPS,Dados simulados,2025-02-15
Custo por aquisição de cliente (CAC),Otimizar investimentos em marketing,Financeira,98.19,Equipe de Marketing,R$,Dados simulados,2025-01-01
Custo por aquisição de cliente (CAC),Otimizar investimentos em marketing,Financeira,53.89,Equipe de Marketing,R$,Dados simulados,2025-01-16
Custo por aquisição de cliente (CAC),Otimizar investimentos em marketing,Financeira,89.57,Equipe de Marketing,R$,Dados simulados,2025-01-31
Custo por aquisição de cliente (CAC),Otimizar investimentos em marketing,Financeira,72.85,Equipe de Marketing,R$,Dados simulados,2025-02-15
ROI da campanha de marketing,Maximizar retorno sobre investimento,Financeira,33.67,Equipe Financeira,%,Dados simulados,2025-01-01
ROI da campanha de marketing,Maximizar retorno sobre investimento,Financeira,81.23,Equipe Financeira,%,Dados simulados,2025-01-16
ROI da campanha de marketing,Maximizar retorno sobre investimento,Financeira,59.89,Equipe Financeira,%,Dados simulados,2025-01-31
ROI da campanha de marketing,Maximizar retorno sobre investimento,Financeira,91.58,Equipe Financeira,%,Dados simulados,2025-02-15
Tempo médio de atendimento,Reduzir tempo de resposta,Processos Internos,78.83,Suporte Técnico,Horas,Dados simulados,2025-01-01
Tempo médio de atendimento,Reduzir tempo de resposta,Processos Internos,71.17,Suporte Técnico,Horas,Dados simulados,2025-01-16
Tempo médio de atendimento,Reduzir tempo de resposta,Processos Internos,95.44,Suporte Técnico,Horas,Dados simulados,2025-01-31
Tempo médio de atendimento,Reduzir tempo de resposta,Processos Internos,34.18,Suporte Técnico,Horas,Dados simulados,2025-02-15
Índice de engajamento interno,Melhorar clima organizacional,Aprendizado e Crescimento,78.76,Recursos Humanos,%,Dados simulados,2025-01-01
Índice de engajamento interno,Melhorar clima organizacional,Aprendizado e Crescimento,12.29,Recursos Humanos,%,Dados simulados,2025-01-16
Índice de engajamento interno,Melhorar clima organizacional,Aprendizado e Crescimento,73.93,Recursos Humanos,%,Dados simulados,2025-01-31
Índice de engajamento interno,Melhorar clima organizacional,Aprendizado e Crescimento,41.91,Recursos Humanos,%,Dados simulados,2025-02-15
Índice de evolução de usuários,Incentivar progresso dos alunos,Aprendizado e Crescimento,47.31,Treinadores,%,Dados simulados,2025-01-01
Índice de evolução de usuários,Incentivar progresso dos alunos,Aprendizado e Crescimento,66.81,Treinadores,%,Dados simulados,2025-01-16
Índice de evolução de usuários,Incentivar progresso dos alunos,Aprendizado e Crescimento,40.52,Treinadores,%,Dados simulados,2025-01-31
Índice de evolução de usuários,Incentivar progresso dos alunos,Aprendizado e Crescimento,76.48,Treinadores,%,Dados simulados,2025-02-15
